Date,Apple ,Google ,Microsoft ,Amazon ,Intel ,VTI ,,,,,
11/16/2010,10.771071,290.770111,25.809999,157.779999,21.07,60.610001,,,,,
11/17/2010,10.732142,290.685425,25.57,158.350006,21.08,60.709999,,,,,
11/18/2010,11.015357,297.166138,25.84,164.169998,21.02,61.560001,,,,,
11/19/2010,10.954643,294.311859,25.690001,164.820007,21.139999,61.810001,,,,,
11/22/2010,11.191428,294.506104,25.73,170.389999,21.25,61.82,,,,,
11/23/2010,11.026072,290.416443,25.120001,168.199997,21.09,60.939999,,,,,
11/24/2010,11.242857,296.374115,25.370001,177.25,21.389999,61.919998,,,,,
11/26/2010,11.25,293.898407,25.25,177.199997,21.34,61.5,,,,,
11/29/2010,11.316786,289.96814,25.309999,179.490005,21.33,61.41,,,,,
11/30/2010,11.1125,276.817413,25.26,175.399994,21.16,61.029999,,,,,
12/1/2010,11.3,281.121277,26.040001,176.550003,21.48,62.34,,,,,
12/2/2010,11.3625,284.842346,26.889999,176.529999,21.700001,63.139999,,,,,
12/3/2010,11.337143,285.430145,27.02,175.679993,21.690001,63.34,,,,,
12/6/2010,11.433928,288.100128,26.84,178.050003,21.700001,63.32,,,,,
12/7/2010,11.364643,292.473724,26.870001,176.770004,21.58,63.389999,,,,,
12/8/2010,11.464643,294.167389,27.23,176.289993,21.82,63.57,,,,,
12/9/2010,11.42,294.645599,27.08,174.850006,21.809999,63.799999,,,,,
12/10/2010,11.448571,294.999268,27.34,175.619995,21.91,64.209999,,,,,
12/13/2010,11.488214,296.199768,27.25,174.25,21.5,64.230003,,,,,
12/14/2010,11.438929,296.344238,27.620001,173.940002,21.469999,64.25,,,,,
12/15/2010,11.441428,294.047852,27.85,175.570007,21.280001,63.970001,,,,,
12/16/2010,11.473214,294.750214,27.99,178.039993,21.299999,64.349998,,,,,
12/17/2010,11.450357,294.296906,27.9,177.580002,21.459999,64.470001,,,,,
12/20/2010,11.5075,296.418945,27.809999,183.289993,21.23,64.639999,,,,,
12/21/2010,11.578571,300.408997,28.07,184.75,21.1,65.029999,,,,,
